Old,New,Commits
discrs,vecsps,1e5bd2a; 4aecddb; 839922e
discr,vecsp,1e5bd2a; 4aecddb; 839922e
Discretization,VectorSpace,914cfb4
UniformGrid,UniformGridFcts,50b97e4
Grid,GridFcts,b696465
discretization,vectorspace,b609c34
Hm_domain,HmDomain,6f82073
Hm0_domain,Hm0Domain,129bb2e
Ptw_Multiplication,PtwMultiplication,d848f6a
_of_operators,OfOperators,8bf0763
Operator_as_worker,OperatorAsWorker,bb22621
Parallel_vectorOfOperators,ParallelVectorOfOperators,4313264
complex_Nemitzky_op_for_g,ComplexNemitzkyOpForG,888f44b
ptw_divided_Bessel,PtwDividedBessel,888f44b
Nemitzky_op_for_g,NemitzkyOpForG,888f44b
dat_object,DatObject,882f5c4
Forward_Backward_Splitting,ForwardBackwardSplitting,fc1dc5f
IRGNM_L1_fid,IrgnmL1Fid,da24e70
IRNM_KL_Newton,IrnmKlNewton,5126d88
IRNM_KL,IrnmKl,fc5affa
Douglas_Rashford,DouglasRashford,df965a8
imshow_fig,ImShowFig,c405085
fresnelNumber,fresnel_number,5b8a30c
Newton_step,newton_step,67a08c9
plot_exactSolution_data,plot_exact_solution_data,e7d39f7
Hdomain,h_domain,e240b03
Hcodomain,h_codomain,5c4c4bc
hspace,h_space,bc23ec5
asLinearOperator,as_linear_operator,2b4758d
A_Psi0_Multiplier,a_psi0_multiplier,c5a9083
other_X_err,other_x_err,e94789f
Euler_gamma,euler_gamma,cb1cc3a
bessH0,bess_H0,0c4182f
bessH1quot,bess_H1_quot,7c98ba2
wSL,w_sl,6094c44
wDL,w_dl,e56ebb6
coeff2Curve,coeff_to_curve,c003bb2
weightSL,weight_sl,ecb7079
weightDL,weight_dl,ed83e6d
cgpars,cg_pars,a49da22
plotdata,plot_data,200f1e4
ChebyshevBasis,chebyshev_basis,3038511
LegendreBasis,legendre_basis,71f9f31
BSplineBasis,bspline_basis,11b9988
Coef,coef,fb4f220
Ydim,Y_dim,e961c59; 7649d48
_GramX,_gram_x,a9d06a6
_GramY,_gram_y,a80d6d9
_Hess,_hess,792e6f6
_innerProd,_inner_prod,654be2f
_N_CG,_N_cg,ace9d89
